doc_id,qid,rel,content
clueweb12-1306wb-95-29881,2,1,"Practical Ethics: Which is least unethical—buying a Mac, or buying a PC? | China Labour Bulletin Skip to main content 中文 | Who We Are What We Do What You Can Do Twitter Home Research Reports Resource Centre Labour Rights Litigation Workers' Voices News Analysis Commentary and Features Blogs Newsletters Podcasts CLB In The News Solidarity Newsletter Subscription RSS Full Feed Our Facebook Page Our Twitter Page Our Chinese Website CLB中文网力求做到新闻来源可靠、评论客观深度，第一时间传达国内劳动法律法规动态以及劳动者工作生活境况。中文网亦是CLB法律诉讼案件以及国内工人研究报告的权威发布平台。 You are here Home Practical Ethics: Which is least unethical—buying a Mac, or buying a PC? Search form Search 15 March, 2012 China Labour Bulletin is mentioned in the following article. Copyright remains with the original publisher. March 14, 2012 By Tom Douglas Recent news stories have brought to public attention the fact that many Apple products, including iPhones, iPads, and Macs, are produced in part in factories with a record of using child labour, failing to provide safe work conditions, and requiring employees to work long shifts for low wages (see, for example, here, here, here and here).<query> which is least unethical buying a pc</query> At the moment, paying more for an ethical product is not an option. But what is an option is paying more to help mitigate one’s contribution to the perpetuation of unethical practices. Those who say they are willing to pay for ethical manufacturing should, I suggest, put their money where their mouth is. Category: CLB In The News Print version Send to a friend Recommended Articles A Decade of Change: The Workers’ Movement in China 2000-2010 Government’s taxi reforms unlikely to reduce the number of drivers’ strikes and protests just yet Strikes and worker protests continue throughout February Popular Tags Beijing Coal Compensation Death Detained Guangdong Migrant workers Mining Pension Strike Trade union Wage More Get In Touch By Email: clbeditor@clb.org.hk By Telephone: (852) 2780 2187 By Fax: (852) 2359 4324 By Skype: ChinaLabourBulletin Follow Us Via RSS On Twitter On Facebook Get Involved Volunteer and Intern at CLB Donate Tell Us Your Thoughts Who We Are What We Do Disclaimer Privacy Policy Sitemap Copyright © China Labour Bulletin 2011<query> clb china contact number</query> This raises the question: should we all stop buying these products? Suppose you need a new laptop, or at least, are going to buy one. Leaving aside ethical considerations, you are indifferent between getting a Mac and buying a PC laptop from one of Apple’s competitors. Which should you buy? To answer this, we need to say something more about the situation at factories run by Apple’s Chinese suppliers. Much of the attention has focused on Foxconn, which assembles the iPad and iPhone. It’s alleged that Foxconn negligence was responsible for a blast which killed two people and injured more than a dozen; that it exposes workers to toxic chemicals without adequate protection; that it requires illegal levels of overtime (often more than double the legal limit of 36 hours per month) for which it frequently does not pay in full; that it deceives potential recruits regarding pay rates; that workers are humiliated by supervisors; that workers often have to stand almost uninterrupted for a 12 hour shift; and that poor work conditions contributed to a spate of suicides at the company’s Shenzen plant in 2010.<query> who makes apple products</query> In addition, Mike Daisey, a New York performer who visited the Foxconn plant in Shenzen, reports that he met children in the age range 12-14 who were working in the plant. They told him that it was not difficult for children of their age to find employment there. There have also been problems at other Apple suppliers. For example, Catcher Technology, which makes the aluminium casings for many Apple products, was recently instructed to shut down one of its factories by the Chinese government after neighbouring residents complaint of unbearable fumes from the factory. Apple has taken some steps to improve the situation in response to recent public pressure. For example, it stepped up its own supplier-audit programme, commissioned the Fair Labor Association (FLA) to conduct an outside audit, and apparently induced Foxconn to raise the wages of its workers.<query> what is the apple factory called</query> However, questions have already been raised about the objectivity of the FLA, the scope of the wage increases, and the willingness of Apple to rectify the problems that its own audits have uncovered (see this, which is a response to this). The steps being taken by Apple may be little more than cosmetic. I take it to be obvious that Apple suppliers are behaving unethically, and that the suppliers, and Apple itself, should do much more to improve the situation. But how does this bear on consumers? Does it follow that no-one should buy an iPhone, iPad or Mac? There are two main reasons why it might be unethical to buy from a company like Apple. First, in purchasing Apple products, one encourages Apple to sustain its current practices. The greater the ‘reward’ that Apple receives, in terms of profits, the more likely it is to continue doing what it is doing.<query> why is it unethical to buy from apple</query> Of course, an individual consumer may not significantly affect the sizes of Apple’s profits and thus may not alone influence the perpetuation of current practices. But when one buys a Mac or an iPad, one is part of a collective that, as a whole helps to sustain these practices, and arguably that gives one reason not to make the purchase. Second, it might be thought that, even leaving aside the effects on our choices on future practices, buying from a company like Apple is problematic. If I buy an Apple product, I benefit from the mistreatment of Chinese workers. Perhaps I also implicitly endorse what they are doing. Arguably these connections are enough to make me complicit in Apple’s wrongdoing. If I buy from them, perhaps I become an accomplice to their mistreatment of workers. The problem is that Apple’s competitors may have similar problems in their supply chains.<query> why is buying apple problematic</query> Indeed, many of Apple’s major competitors use precisely the same suppliers. Foxconn supplies Samsung, Hewlett-Packard and Dell, as well as Apple. Most of the recent attention on unethical practices in the Chinese electronics industry has focused on Apple, rather than its competitors. But Apple may be the main target largely because, given its size and high profit margins, it’s perceived to be in the best position to improve labour standards, not because it’s own standards are the worst. Ethical Consumer Magazine ranks Apple to be mid-table in terms of the ethics of its laptop and phone manufacturing processes, and above some of its biggest competitors, such as Samsung, Sony, HP and Toshiba. Moreover, though Apple is not doing enough to improve the situation, it arguably is doing more than most of its competitors. For example, it arguably does conduct more rigorous audits of its suppliers.<query> what is apple's main competitor</query> Perhaps, then, buying from Apple is less problematic than buying from many other electronics companies. The practices that one helps to sustain, or becomes complicit in, when one buys from Apple may be less objectionable than the practices one sustains, or becomes complicit in, when one buys from, say, Sony. Moreover, in buying from Apple one may help to encourage other firms to move to some less bad Apple-like model. On the other hand, Apple probably is in a much stronger position than other electronics companies to improve the situation, given its market power and profit margins. Moreover, it is currently under public pressure to improve the situation and is clearly feeling this pressure. And its emphasis on producing ‘feel-good’ products and claims to ‘do things differently’ only intensifies this pressure.<query> why is buying apple more problematic</query> These factors suggest that—at least at the moment—Apple may be more sensitive than others to ethically-motivated consumer decisions. If sales of iPhones, iPads and Macs were to fall dramatically due to consumer concerns about factory conditions, Apple surely could and would improve the situation. Of course, no individual consumer can bring about this change alone, but she can contribute in a small way by taking her business elsewhere. Thus, two factors seem to militate in opposing directions. A concern to buy from the least unethical manufacturers might in fact slightly count somewhat in favour of buying from Apple rather than from some of its main competitors. On the other hand, a concern to send a message where it is most likely to be heard (and to make a difference) seems to count in favour of not buying from Apple. I am not sure how these factors balance out in this particular case.<query> why is apple more ethical</query> I suppose I’m inclined to think that, other things being equal, not buying from Apple is the better thing to do, right now. (This assumes that one is going to buy from someone. Of course, not buying from anyone, might be better still.) But I do want to end with a concrete and positive suggestion. If one buys any Chinese-manufactured electronics product in current circumstances, one is likely to be encouraging some unethical labour practices. I suggest that if one does this, one at least has reason to try to mitigate that effect. How might one do this? One option might be to donate to one of the Chinese charities currently pressuring Apple and others to improve condition in their suppliers’ factories (for example, China Labor Watch orChina Labour Bulletin). Many of those who have commented on blogs discussing Apple’s worker abuses have noted that they would be prepared to pay significantly more for electronics products if they were made ethically.<query> why is it bad to buy from apple</query>"
clueweb12-0000wb-01-03063,5,1,"Best Cities in Germany - Germany's Best Cities and Destinations About.com Travel Germany Travel Germany Travel Search Germany Travel Plan Your Trip What to Do Oktoberfest Share Free Germany Travel Newsletter! Sign Up Discuss in my forum Germany's Top 10 Cities - Best Spots for City Breaks in Germany Discover the Best City Destinations in Germany By Birge Amondson, About.com Guide See More About: german cities berlin munich hamburg frankfurt Want to know the best cities in Germany to visit? This selection of Germany's top cities and destinations gives you a great introduction to the best city vacations Germany has to offer. Planning on city hopping? Check out the best ways to get around in Germany and how toget from city to city. 1. Berlin Birge Amondson Berlin is both the German capital and the biggest city in Germany.<query> what is the best city in germany</query> After being separated into East and West during the Cold War, Berlin was reunited in 1990; it quickly emerged as the most cosmopolitan and exciting city in Germany for art, architecture, and nightlife. More about Berlin 2. Munich Bastian Stein Munich, the capital of Bavaria and gateway to the Alps, is one of the most beautiful and green cities in Germany. It offers first class museums and traditional German architecture, a salute to Bavaria's royal past. Get a true taste of Munich's hospitality, culture and world-famous beer at itsOktoberfest, which attracts more than 6 million visitors every year. More about Munich 3. Frankfurt Martin Ruegner/Getty Images Thanks to its International Airport, Frankfurt is the major hub for Germany and Europe. The city is also the financial center of the country, which is reflected in Frankfurt’s gleaming skyscrapers.<query> what is the most beautiful city in germany</query> Frankfurt is host to many important events, among them the International Book Fair in October, the biggest of its kind in the world. More about Frankfurt 4. Hamburg Jeremy Woodhouse/Getty Images Hamburg is the country's second largest city and located in the North of Germany. It boasts one of the biggest harbors in the world and is famous for its legendarynightlife hub ""Reeperbahn"", which is also home to the city’s red light district. With several waterways running through its center, Hamburg has maritime charm – with more bridges than Amsterdam and Venice combined. More about Hamburg 5. Cologne Robert Harding/Getty Images Cologne, founded by the Romans, is one of Germany's oldest cities. The soaringCathedral of Cologne is the centerpiece of the city and its rich architectural history. Cologne is well-known for its contemporary art scene, excellent museums, and the largestcarnival celebrations in Germany.<query> where is frankfurt germany</query> More about Cologne 6. Dresden Sylvio Dittrich/www.dresden-tourist.de Dresden, spread out on both banks of the river Elbe in Saxony, is also called ""Florence at the Elbe"", due to its idyllic location, excellent examples of baroque architecture, and world-renowned art treasures. Although 80% of Dresden’s historic center was destroyed in World War II, all landmarks have been rebuilt to their former splendor. More about Dresden 7. Leizpig LTM/Bader Leipzig has been home to some of Germany’s best-known artists for a long time; Goethe was a student in Leipzig, Bach worked here as a cantor, and today, the New Leipzig school brings fresh wind into the art world. Besides being a center for German art and culture, the city also became famous in Germany’s recent history, when Leipzig demonstrators initiated the peaceful revolution, which lead to the fall of the Berlin Wall in 1989.﻿ More about Leipzig 8.<query> where is dresden germany</query> Heidelberg Peter Adams/ Getty Images Heidelberg is one of the few German cities that wasn't destroyed in World War II; plenty of old world charm fills the narrow cobble stone streets of its Old Town, which was the center for Germany's romantic period. The ruins of the once grand Heidelberg castle, the oldest university in the country, and the idyllic river valley make Heidelberg one of the most picturesque destinations in Germany. More about Heidelberg 9. Weimar Weimar is the heart of German culture. This city in the East of Germany was home to many of Germany’s artists and thinkers; Goethe, Bach, and Nietzsche, just to name a few, shaped the intellectual zeitgeist of Weimar. The city is also the cradle of the Bauhaus movement, which revolutionized the aesthetics of the 20th century. More about Weimar 10.<query> where is heidelberg germany</query> Düsseldorf Düsseldorf in the Rhineland offers an interesting mix of old and new, from traditional breweries to futuristic architecture by Ghery and Chipperfield. It is famous for its luxury shopping street Koenigsallee, and hosts the world’s biggest fashion trade fair. The Düsseldorf Art Academy is an integral part of the city's art scene, and graduated the likes of Joseph Beuys, Jörg Immendorff, and Gerhard Richter. Take our poll! What's Your Favorite City in Germany? Best of Germany Top Ten Attractions and Sights in Germany Best Castles in Germany Best Scenic Drives in Germany Best of German Cities 10 Best Things to Do in Berlin 10 Best Things to Do in Munich 10 Best Things to Do in Frankfurt Best of Special Interest Best German Nude Beaches Best Shopping Streets in Germany Best German Christmas Markets Related Articles Hamburg Germany Travel - Guide Hamburg Germany Travel and Hamburg Informati... Catacomba Bar - Reader Stories: What are Germany's Best Destinations Of...<query> what is the best place to visit in germany</query> Romantic Getaways in Germany - Best Romantic Getaways in Germany Munich on a Budget Germany World Cup – Rosters and Predictions for Germany in the World ... Birge Amondson Germany Travel Guide Sign up for My Newsletter Headlines Forum Related Video Los Angeles' Best Taco and Hotdog Spots Ensure your Maui, Hawaii Trip is Your Best Vacation Ever More Videos See All About.com Videos Related Searches cold war berlin cities in germany berlin 1 german capital exciting city birge Explore Germany Travel Must Reads Before You Go Best 10 Things to See & Do in Germany Top 10 German Cities Train Travel in Germany Best Hotels Under 100 Euros Most Popular Top Ten Attractions Germany's Top 10 Cities Carnival in Germany Munichs Top Ten When is Oktoberfest? See More About: german cities berlin munich hamburg frankfurt By Category Plan Your Trip Cities & Regions Sights & Attractions Where to Stay Food & Local Dining Nightlife Shopping Events & Festivals History & Culture German Travel Glossary Pictures of Germany Germany Travel About.com Travel Germany Travel Cities & Regions Best Cities in Germany - Germany's Best Cities and Destinations Most Popular Latest Articles RSS Advertise on About.com Our Story News & Events Work at About SiteMap All Topics Reprints Help Write for About User Agreement Ethics Policy Patent Info.<query> what is the most romantic place in germany</query>"
clueweb12-1717wb-39-02540,7,1,"How to Enjoy A Few Quick Serving Ideas For a hot breakfast alternative to oatmeal, make a porridge using rolled rye flakes. Cooked rye berries can be served as a side dish alternative to rice with a variety of different meals. For a change of pace, make your favorite sandwiches on rye bread instead of wheat bread. Substitute some rye flour for wheat flour in your favorite pancake, muffin and bread recipes. For some of our favorite recipes, click Recipes. Individual Concerns Rye and the Gluten Grains Rye is a member of a non-scientifically established grain group traditionally called the ""gluten grains."" The idea of grouping certain grains together under the label ""gluten grains"" has come into question in recent years as technology has given food scientists a way to look more closely at the composition of grains.<query> what is rye flour</query> Some healthcare practitioners continue to group wheat, oats, barley and rye together under the heading of ""gluten grains"" and to ask for elimination of the entire group on a wheat-free diet. Other practitioners now treat wheat separately from these other grains, including rye, based on recent research. Wheat is unquestionably a more common source of food reactions than any of the other ""gluten grains,"" including rye. Although you may initially want to eliminate rye from your meal planning if you are implementing a wheat-free diet, you will want to experiment at some point with re-introduction of this food. You may be able to take advantage of its diverse nutritional benefits without experiencing an adverse reaction. Individuals with wheat-related conditions like celiac sprue or gluten-sensitive enteropathies should consult with their healthcare practitioner before experimenting with any of the ""gluten grains,"" including rye.<query> can you eat wheat on a gluten free diet</query>"
clueweb12-0509wb-89-02848,7,1,"Astra Diet Tea | Holistic Chinese Herbs Holistic Chinese Herbs Home Shop By Health Concerns Products About Contact Free Stuff VIP Members Health Coaching Recipes Astra Diet Tea from Health Concerns Astra Diet Tea is a Chinese herbal tea to be taken as a pleasant tasting drink to reduce appetite and improve digestion. Astra Diet Tea Should be used withAstra 18 Diet. Astra Diet Tea is designed to be used with Astra 18 Diet as part of a weight loss program. The formula contains herbs that regulate the Stomach functions to restore the appetite to normal and assist in obtaining maximum nutrition from a limited diet. Loquat (Pi Pa Ye), Perilla (Zi Su Ye), and Lophatherum (Dan Zhu Ye) help settle stomach agitation. Eleutheroginseng (Ci Wu Jia) and Mentha (Bo He) promote digestion.<query> what is astra diet tea</query>"
clueweb12-1500tw-99-08040,41,1,"write a review see all reviews → 1 should i replace my galaxy s i9000 with this one? i love the look of ray.. Get better answers and support from people who actually have this product! ask a question see all answers → Please enable JavaScript to view thecomments powered by Disqus. blog comments powered by Disqus Nikon adds D3200 to its DSLR range, we go hands-on! (video) 5 hours ago Engadget HD Podcast 295 - 04.18.2012 8 hours ago GoPro HD Hero 2's free ProTune upgrade will add 24fps and higher bitrates 11 hours ago HTC One S for T-Mobile review 12 hours ago Padcaster / Lenscaster lets you mount SLR lenses on iPad, we go hands-on at NAB (video) 13 hours ago SEE ALL Breaking News gets a TV app, channel-agnostic news ticker 1 day ago Samsung will unveil the next Galaxy phone May 3rd in London 3 days ago Meizu MX Quad-core launching with Android 4.0 in June, gets 32GB and 64GB flavors 3 days ago Nokia Lumia 900 data connectivity fix available now, three days early 5 days ago Kaz Hirai reveals 'One Sony' turnaround strategy, will cut 10,000 jobs 7 days ago SEE ALL The most commented posts on Engadget over the past 24 hours.<query> what is the new galaxy s i9000</query> Apple offering free Snow Leopard update to MobileMe holdouts 0 Nikon adds D3200 to its DSLR range, we go hands-on! (video) 0 HTC One S for T-Mobile review 0 New water-resistant coating protects your phone, the planet (video) 0 This talking Domino's Pizza scooter will make your day infinitely more awesome (video) 0 Trending posts from Engadget on Twitter, updated hourly. Alienware's M11x is no more, bigger is apparently better 221 PlayStation Suite's 'open beta' SDK available to download now 170 Alienware refreshes M14x, M17x and M18x with new graphics, same old processors 160 New water-resistant coating protects your phone, the planet (video) 10 Toshiba pushes AT270 Tegra 3 tablet through the FCC, gets Excited 9 YouTube wants more videos to have background music, adds audio editor 8 Joystiq Nintendo launching 3DS in Korea on April 28 Jordan Mechner speaking at NYU Game Center next week Fallout: Nuka Break wants to film season two TUAW Xcode 4.4 and Safari 5.2 seeds pushed to developers Apple is giving away Snow Leopard to MobileMe customers Zynga-owned Draw Something finally gets update for sharing, undo TechCrunch Another Siri-Like App, Voice Answer, Hits The App Store For Those Of Us Without The iPhone 4S Kixeye Is The Lucrative Dark Horse of Facebook Gaming Dorsey Pitching Square At $4B Valuation To Legg Mason, Fidelity And Other Institutional Investors HuffPost Tech COOL TO CORPORATE This Is One Of The Best Android Phones.<query> what is the latest update for android</query>"
clueweb12-1513wb-32-06260,42,1,"Website by Dealer.com Keith Pierson Toyota 6501 Youngerman Circle Jacksonville, FL 32244 Disclaimer Directions Privacy Sitemap www.toyota.com<query> where is keith pierson toyota dealer</query>"
clueweb12-1804wb-14-00269,49,1,"Economic Development After The World Trade Center Disaster: Next Steps for New York’s Economy - Center for an Urban Future Photo: Dominick Totino HOME| ABOUT| CONTACT| INTERNSHIPS| DONATE Contents Reports Commentaries Data & Statistics Q & A Events & Transcripts Testimony CUF in the News About the Center CUF in the News Editorial: Will the City Ever Learn?, The Architect's Newspaper, April 9, 2012 The Day: A Beautiful Day For A Fort Greene Coat, NYTimes The Local, April 2, 2012 A battle for the boros, Crain's New York Business, April 1, 2012 Design crucial to city economy, Crain's New York Business, April 1, 2012 A Report for the Design Student Who Wonders, ""Should I Move to New York?"", Core77, March 27, 2012 Report finds New York's design schools fuel creative economy, SmartPlanet, March 23, 2012 read more> Center for an Urban Future is a New York City-based think tank that fuses journalistic reporting techniques with traditional policy analysis to produce in-depth reports and workable policy solutions on the critical issues facing our cities.<query> what is the economic development of nyc</query>"
clueweb12-0000wt-00-09789,49,1,"This page was last modified 23:10, 10 April 2012. Text is available under Creative Commons Attribution-ShareAlike 3.0, images are available undervarious licenses, see each image for details. Privacy policy About Wikitravel Terms of use<query> what is the wikitravel terms of use</query>"
clueweb12-0800tw-77-11083,49,1,"This comment has been down-ranked into oblivion. View comment You have not right to carry out this operation or Error this operation. There are More Comments on this Thread. Click Here To See them All Loading comments… This comment has been down-ranked into oblivion. View comment You have not right to carry out this operation or Error this operation. Loading comments… This comment has been down-ranked into oblivion. View comment You have not right to carry out this operation or Error this operation. Loading comments… HUFFPOST SUPER USER msfaye 63 Fans 3 hours ago ( 9:35 PM) no one has a front yard or back yard for that matter. to many hills and buildings. no place to park and sometimes the city is just too weird.<query> what is the humppost super user</query> This comment has been down-ranked into oblivion. View comment You have not right to carry out this operation or Error this operation. Loading comments… This comment has been down-ranked into oblivion. View comment You have not right to carry out this operation or Error this operation. Loading comments… HUFFPOST SUPER USER Mailman 129 Fans 4 hours ago ( 9:20 PM) Those damn kids, wow they are so much trouble, so who going to pay the future taxes the dogs. Mailman: Those damn kids, wow they are so much trouble, so http://www.huffingtonpost.com/social/Mailman/families-flee-san-francisco_n_1335639_140635265.html History | Permalink | Share it This comment has been down-ranked into oblivion. View comment You have not right to carry out this operation or Error this operation. Loading comments… Page: 1 2 3 4 5 Next › Last » (5 total) new comment(s) on this entry — Click to refresh Loading comments… FOLLOW US Connect with your friends Check out stories you might like, and see what your friends are sharing!<query> who is mailman's family</query>"
clueweb12-0302wb-40-08013,51,1,"There are two in Northamptonshire, one at Kettering General Hospital and one at Northampton General Hospital. Kettering General Hospital NHS Foundation Trust Rothwell Road Kettering Northamptonshire NN16 8UZ Tel: 01536 492000 or click here for more information Northampton General Hospital NHS Trust Cliftonville Northampton NN1 5B Tel: 01604 634700 or click here for more information Edit this section Tag Cloud Remove Edit this section Advice Healthcheck Swine Flu Launch East Midlands Sexual Health Performance Gold Street Your Health Strategy Aids Kettering Diarrhoea Young Kidney Infection NGH Daventry Diabetic Measles Northamptonshire Spo gp consortia Mumps Pulse Mental Health Exercise Eczema Eyes Commissioning Optician Sciatica Oral Health Promotio Equality Weather Northampton General MiaMi William Pope East Midlands Ambula Primary Care White Paper NHS Direct Site Map Useful Links Local Services Hospitals and A&E Minor Injuries Units GP Surgeries Pharmacies Self Care NHS Direct Dentists Opticians Hospices Adult Services Young People's Services Children's Services Your Health All Topics A-Z Men's Health Women's Health Get Involved Northamptonshire Pulse Consultation & Engagement Research & Innovation News & Media Latest News News Archive Join Our Mailing List Media Enquiries About Us About Us Key Personnel Work For Us Contact Us Document Library Document Library Making A Request Locations Northampton Kettering Wellingborough Corby Daventry Brackley Rushden Towcester Neighbouring Counties Warwickshire PCT Leicestershire PCT Cambridgeshire PCT Bedfordshire PCT Buckinghamshire PCT Oxfordshire PCT Lincolnshire PCT National NHS NHS Choices NHS Direct NHS Jobs Content Follow us: Share Copyright 2010.<query> where is northampton general hospital</query> Examples of a community service would include district and community nurses, children centres, minor injury units and community beds. All Primary Care Trusts are undertaking a process to separate these two functions completely, for which there are different approaches under guidance from Department of Health. The revised operating framework 2010/11 for the whole of the NHS, together with the publication of the recent White Paper further support the process named Transforming Community Services (TCS). In Northamptonshire the Primary Care Trust; NHS Northamptonshire has developed proposals for this separation by transferring those community services managed by NHS Northamptonshire Provider Services to other organisations to manage. This will ultimately mean that Provider Services will no longer exist. It is important to emphasise that the Transforming Community Services (TCS) process will result in no change to the services that patients and members of the public receive and access; including opening times or location.<query> what is tcs</query> The process is purely a change in the management of the community service and not a change to the service itself. It is proposed that the majority of the community services are transferred to Northamptonshire Healthcare NHS foundation Trust (NHfT), an organisation with extensive experience of working with a range of patients in a community setting. The rest of the community services are proposed for transfer to a number of other organisations including Kettering General Hospital, Northampton General Hospital, Out of Hours Service and Local Authority. Further proposals include transformation to a Social Enterprise. These proposals provide the opportunity for future community health services to be provided through Integrated Care Partnerships (ICPs) ensuring better partnership working with different organisations developing healthcare services together. All Primary Care Trusts including NHS Northamptonshire will complete the transformation by April 2011. Please send any comments you may have to: communications@northants.nhs.uk or call 01604 651190 TCS Briefing Paper 14.09.10FINAL.pdf 0 Comments to this article Please log-in to post a comment Edit this section Choose Well Remove Edit this section main Self Care NHS Direct Pharmacy GP Surgery Walk Ins A&E Self Care Self care at home is the best choice to treat very minor illnesses and injuries.<query> what is the nhs community service</query>"
